Game,Number,Times Drawn,Pool,Drawings,Expected,Lower Band,Upper Band,Deviation,Percent From Expected,Within Chance Band
Pick 10,7,3286,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-106.5,-3.1392778187177597,True
Pick 10,8,3430,80,13570,3392.5,3241.1746055680014,3543.8253944319986,37.5,1.105379513633014,True
Pick 10,9,3489,80,13570,3392.5,3241.1746055680014,3543.8253944319986,96.5,2.844509948415623,True
Pick 10,10,3431,80,13570,3392.5,3241.1746055680014,3543.8253944319986,38.5,1.1348563006632277,True
Pick 10,11,3349,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-43.5,-1.2822402358142961,True
Pick 10,12,3323,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-69.5,-2.0486366985998523,True
Pick 10,13,3344,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-48.5,-1.4296241709653648,True
Pick 10,14,3444,80,13570,3392.5,3241.1746055680014,3543.8253944319986,51.5,1.518054532056006,True
Pick 10,15,3447,80,13570,3392.5,3241.1746055680014,3543.8253944319986,54.5,1.6064848931466469,True
Pick 10,16,3445,80,13570,3392.5,3241.1746055680014,3543.8253944319986,52.5,1.5475313190862197,True
Pick 10,17,3360,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-32.5,-0.9579955784819455,True
Pick 10,18,3420,80,13570,3392.5,3241.1746055680014,3543.8253944319986,27.5,0.8106116433308769,True
Pick 10,19,3362,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-30.5,-0.899042004421518,True
Pick 10,20,3371,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-21.5,-0.6337509211495947,True
Pick 10,21,3438,80,13570,3392.5,3241.1746055680014,3543.8253944319986,45.5,1.3411938098747236,True
Pick 10,22,3348,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-44.5,-1.3117170228445099,True
Pick 10,23,3456,80,13570,3392.5,3241.1746055680014,3543.8253944319986,63.5,1.8717759764185704,True
Pick 10,24,3437,80,13570,3392.5,3241.1746055680014,3543.8253944319986,44.5,1.3117170228445099,True
Pick 10,25,3250,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-142.5,-4.200442151805453,True
Pick 10,26,3422,80,13570,3392.5,3241.1746055680014,3543.8253944319986,29.5,0.8695652173913043,True
Pick 10,27,3398,80,13570,3392.5,3241.1746055680014,3543.8253944319986,5.5,0.16212232866617537,True
Pick 10,28,3379,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-13.5,-0.397936624907885,True
Pick 10,29,3386,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-6.5,-0.1915991156963891,True
Pick 10,30,3465,80,13570,3392.5,3241.1746055680014,3543.8253944319986,72.5,2.1370670596904935,True
Pick 10,31,3407,80,13570,3392.5,3241.1746055680014,3543.8253944319986,14.5,0.42741341193809873,True
Pick 10,32,3403,80,13570,3392.5,3241.1746055680014,3543.8253944319986,10.5,0.30950626381724394,True
